Model,Origin,Model_Year,Weight,when,Acceleration,cyl4,Cylinders,Displacement,Horsepower,Mfg,MPG,org
"volkswagen rabbit                   ","Germany",76,1937,"Mid  ",14.2,"Four ",4,90,70,"volkswagen   ",29,"Europe "
"honda civic                         ","Japan  ",76,1795,"Mid  ",17.4,"Four ",4,91,53,"honda        ",33,"Japan  "
"dodge aspen se                      ","USA    ",76,3651,"Mid  ",17.7,"Other",6,225,100,"dodge        ",20,"USA    "
"ford granada ghia                   ","USA    ",76,3574,"Mid  ",21,"Other",6,250,78,"ford         ",18,"USA    "
"pontiac ventura sj                  ","USA    ",76,3645,"Mid  ",16.2,"Other",6,250,110,"pontiac      ",18.5,"USA    "
"amc pacer d/l                       ","USA    ",76,3193,"Mid  ",17.8,"Other",6,258,95,"amc          ",17.5,"USA    "
"volkswagen rabbit                   ","Germany",76,1825,"Mid  ",12.2,"Four ",4,97,71,"volkswagen   ",29.5,"Europe "
"datsun b-210                        ","Japan  ",76,1990,"Mid  ",17,"Four ",4,85,70,"datsun       ",32,"Japan  "
"toyota corolla                      ","Japan  ",76,2155,"Mid  ",16.4,"Four ",4,97,75,"toyota       ",28,"Japan  "
"ford pinto                          ","USA    ",76,2565,"Mid  ",13.6,"Four ",4,140,72,"ford         ",26.5,"USA    "
"volvo 245                           ","Sweden ",76,3150,"Mid  ",15.7,"Four ",4,130,102,"volvo        ",20,"Europe "
"plymouth volare premier v8          ","USA    ",76,3940,"Mid  ",13.2,"Other",8,318,150,"plymouth     ",13,"USA    "
"peugeot 504                         ","France ",76,3270,"Mid  ",21.9,"Four ",4,120,88,"peugeot      ",19,"Europe "
"toyota mark ii                      ","Japan  ",76,2930,"Mid  ",15.5,"Other",6,156,108,"toyota       ",19,"Japan  "
"mercedes-benz 280s                  ","Germany",76,3820,"Mid  ",16.7,"Other",6,168,120,"mercedes-benz",16.5,"Europe "
"cadillac seville                    ","USA    ",76,4380,"Mid  ",12.1,"Other",8,350,180,"cadillac     ",16.5,"USA    "
"chevrolet c10                       ","USA    ",76,4055,"Mid  ",12,"Other",8,350,145,"chevrolet    ",13,"USA    "
"ford f108                           ","USA    ",76,3870,"Mid  ",15,"Other",8,302,130,"ford         ",13,"USA    "
"dodge d100                          ","USA    ",76,3755,"Mid  ",14,"Other",8,318,150,"dodge        ",13,"USA    "
"honda accord cvcc                   ","Japan  ",77,2045,"Mid  ",18.5,"Four ",4,98,68,"honda        ",31.5,"Japan  "
"buick opel isuzu deluxe             ","USA    ",77,2155,"Mid  ",14.8,"Four ",4,111,80,"buick        ",30,"USA    "
"renault 5 gtl                       ","France ",77,1825,"Mid  ",18.6,"Four ",4,79,58,"renault      ",36,"Europe "
"plymouth arrow gs                   ","USA    ",77,2300,"Mid  ",15.5,"Four ",4,122,96,"plymouth     ",25.5,"USA    "
"datsun f-10 hatchback               ","Japan  ",77,1945,"Mid  ",16.8,"Four ",4,85,70,"datsun       ",33.5,"Japan  "
"chevrolet caprice classic           ","USA    ",77,3880,"Mid  ",12.5,"Other",8,305,145,"chevrolet    ",17.5,"USA    "
"oldsmobile cutlass supreme          ","USA    ",77,4060,"Mid  ",19,"Other",8,260,110,"oldsmobile   ",17,"USA    "
"dodge monaco brougham               ","USA    ",77,4140,"Mid  ",13.7,"Other",8,318,145,"dodge        ",15.5,"USA    "
"mercury cougar brougham             ","USA    ",77,4295,"Mid  ",14.9,"Other",8,302,130,"mercury      ",15,"USA    "
"chevrolet concours                  ","USA    ",77,3520,"Mid  ",16.4,"Other",6,250,110,"chevrolet    ",17.5,"USA    "
"buick skylark                       ","USA    ",77,3425,"Mid  ",16.9,"Other",6,231,105,"buick        ",20.5,"USA    "
"plymouth volare custom              ","USA    ",77,3630,"Mid  ",17.7,"Other",6,225,100,"plymouth     ",19,"USA    "
"ford granada                        ","USA    ",77,3525,"Mid  ",19,"Other",6,250,98,"ford         ",18.5,"USA    "
"pontiac grand prix lj               ","USA    ",77,4220,"Mid  ",11.1,"Other",8,400,180,"pontiac      ",16,"USA    "
"chevrolet monte carlo landau        ","USA    ",77,4165,"Mid  ",11.4,"Other",8,350,170,"chevrolet    ",15.5,"USA    "
"chrysler cordoba                    ","USA    ",77,4325,"Mid  ",12.2,"Other",8,400,190,"chrysler     ",15.5,"USA    "
"ford thunderbird                    ","USA    ",77,4335,"Mid  ",14.5,"Other",8,351,149,"ford         ",16,"USA    "
"volkswagen rabbit custom            ","Germany",77,1940,"Mid  ",14.5,"Four ",4,97,78,"volkswagen   ",29,"Europe "
"pontiac sunbird coupe               ","USA    ",77,2740,"Mid  ",16,"Four ",4,151,88,"pontiac      ",24.5,"USA    "
"toyota corolla liftback             ","Japan  ",77,2265,"Mid  ",18.2,"Four ",4,97,75,"toyota       ",26,"Japan  "
"ford mustang ii 2+2                 ","USA    ",77,2755,"Mid  ",15.8,"Four ",4,140,89,"ford         ",25.5,"USA    "
"chevrolet chevette                  ","USA    ",77,2051,"Mid  ",17,"Four ",4,98,63,"chevrolet    ",30.5,"USA    "
"dodge colt m/m                      ","USA    ",77,2075,"Mid  ",15.9,"Four ",4,98,83,"dodge        ",33.5,"USA    "
"subaru dl                           ","Japan  ",77,1985,"Mid  ",16.4,"Four ",4,97,67,"subaru       ",30,"Japan  "
"volkswagen dasher                   ","Germany",77,2190,"Mid  ",14.1,"Four ",4,97,78,"volkswagen   ",30.5,"Europe "
"datsun 810                          ","Japan  ",77,2815,"Mid  ",14.5,"Other",6,146,97,"datsun       ",22,"Japan  "
"bmw 320i                            ","Germany",77,2600,"Mid  ",12.8,"Four ",4,121,110,"bmw          ",21.5,"Europe "
"mazda rx-4                          ","Japan  ",77,2720,"Mid  ",13.5,"Other",3,80,110,"mazda        ",21.5,"Japan  "
"volkswagen rabbit custom diesel     ","Germany",78,1985,"Mid  ",21.5,"Four ",4,90,48,"volkswagen   ",43.1,"Europe "
"ford fiesta                         ","USA    ",78,1800,"Mid  ",14.4,"Four ",4,98,66,"ford         ",36.1,"USA    "
"mazda glc deluxe                    ","Japan  ",78,1985,"Mid  ",19.4,"Four ",4,78,52,"mazda        ",32.8,"Japan  "
"datsun b210 gx                      ","Japan  ",78,2070,"Mid  ",18.6,"Four ",4,85,70,"datsun       ",39.4,"Japan  "
"honda civic cvcc                    ","Japan  ",78,1800,"Mid  ",16.4,"Four ",4,91,60,"honda        ",36.1,"Japan  "
"oldsmobile cutlass salon brougham   ","USA    ",78,3365,"Mid  ",15.5,"Other",8,260,110,"oldsmobile   ",19.9,"USA    "
"dodge diplomat                      ","USA    ",78,3735,"Mid  ",13.2,"Other",8,318,140,"dodge        ",19.4,"USA    "
"mercury monarch ghia                ","USA    ",78,3570,"Mid  ",12.8,"Other",8,302,139,"mercury      ",20.2,"USA    "
"pontiac phoenix lj                  ","USA    ",78,3535,"Mid  ",19.2,"Other",6,231,105,"pontiac      ",19.2,"USA    "
"chevrolet malibu                    ","USA    ",78,3155,"Mid  ",18.2,"Other",6,200,95,"chevrolet    ",20.5,"USA    "
"ford fairmont (auto)                ","USA    ",78,2965,"Mid  ",15.8,"Other",6,200,85,"ford         ",20.2,"USA    "
"ford fairmont (man)                 ","USA    ",78,2720,"Mid  ",15.4,"Four ",4,140,88,"ford         ",25.1,"USA    "
"plymouth volare                     ","USA    ",78,3430,"Mid  ",17.2,"Other",6,225,100,"plymouth     ",20.5,"USA    "
"amc concord                         ","USA    ",78,3210,"Mid  ",17.2,"Other",6,232,90,"amc          ",19.4,"USA    "
"buick century special               ","USA    ",78,3380,"Mid  ",15.8,"Other",6,231,105,"buick        ",20.6,"USA    "
"mercury zephyr                      ","USA    ",78,3070,"Mid  ",16.7,"Other",6,200,85,"mercury      ",20.8,"USA    "
"dodge aspen                         ","USA    ",78,3620,"Mid  ",18.7,"Other",6,225,110,"dodge        ",18.6,"USA    "
"amc concord d/l                     ","USA    ",78,3410,"Mid  ",15.1,"Other",6,258,120,"amc          ",18.1,"USA    "
"chevrolet monte carlo landau        ","USA    ",78,3425,"Mid  ",13.2,"Other",8,305,145,"chevrolet    ",19.2,"USA    "
"buick regal sport coupe (turbo)     ","USA    ",78,3445,"Mid  ",13.4,"Other",6,231,165,"buick        ",17.7,"USA    "
"ford futura                         ","USA    ",78,3205,"Mid  ",11.2,"Other",8,302,139,"ford         ",18.1,"USA    "
"dodge magnum xe                     ","USA    ",78,4080,"Mid  ",13.7,"Other",8,318,140,"dodge        ",17.5,"USA    "
"chevrolet chevette                  ","USA    ",78,2155,"Mid  ",16.5,"Four ",4,98,68,"chevrolet    ",30,"USA    "
"toyota corona                       ","Japan  ",78,2560,"Mid  ",14.2,"Four ",4,134,95,"toyota       ",27.5,"Japan  "
"datsun 510                          ","Japan  ",78,2300,"Mid  ",14.7,"Four ",4,119,97,"datsun       ",27.2,"Japan  "
"dodge omni                          ","USA    ",78,2230,"Mid  ",14.5,"Four ",4,105,75,"dodge        ",30.9,"USA    "
"toyota celica gt liftback           ","Japan  ",78,2515,"Mid  ",14.8,"Four ",4,134,95,"toyota       ",21.1,"Japan  "
"plymouth sapporo                    ","USA    ",78,2745,"Mid  ",16.7,"Four ",4,156,105,"plymouth     ",23.2,"USA    "
"oldsmobile starfire sx              ","USA    ",78,2855,"Mid  ",17.6,"Four ",4,151,85,"oldsmobile   ",23.8,"USA    "
"datsun 200-sx                       ","Japan  ",78,2405,"Mid  ",14.9,"Four ",4,119,97,"datsun       ",23.9,"Japan  "
"audi 5000                           ","Germany",78,2830,"Mid  ",15.9,"Other",5,131,103,"audi         ",20.3,"Europe "
"volvo 264gl                         ","Sweden ",78,3140,"Mid  ",13.6,"Other",6,163,125,"volvo        ",17,"Europe "
"saab 99gle                          ","Sweden ",78,2795,"Mid  ",15.7,"Four ",4,121,115,"saab         ",21.6,"Europe "
"peugeot 604sl                       ","France ",78,3410,"Mid  ",15.8,"Other",6,163,133,"peugeot      ",16.2,"Europe "
"volkswagen scirocco                 ","Germany",78,1990,"Mid  ",14.9,"Four ",4,89,71,"volkswagen   ",31.5,"Europe "
"honda accord lx                     ","Japan  ",78,2135,"Mid  ",16.6,"Four ",4,98,68,"honda        ",29.5,"Japan  "
"pontiac lemans v6                   ","USA    ",79,3245,"Late ",15.4,"Other",6,231,115,"pontiac      ",21.5,"USA    "
"mercury zephyr 6                    ","USA    ",79,2990,"Late ",18.2,"Other",6,200,85,"mercury      ",19.8,"USA    "
"ford fairmont 4                     ","USA    ",79,2890,"Late ",17.3,"Four ",4,140,88,"ford         ",22.3,"USA    "
"amc concord dl 6                    ","USA    ",79,3265,"Late ",18.2,"Other",6,232,90,"amc          ",20.2,"USA    "
"dodge aspen 6                       ","USA    ",79,3360,"Late ",16.6,"Other",6,225,110,"dodge        ",20.6,"USA    "
"chevrolet caprice classic           ","USA    ",79,3840,"Late ",15.4,"Other",8,305,130,"chevrolet    ",17,"USA    "
"ford ltd landau                     ","USA    ",79,3725,"Late ",13.4,"Other",8,302,129,"ford         ",17.6,"USA    "
"mercury grand marquis               ","USA    ",79,3955,"Late ",13.2,"Other",8,351,138,"mercury      ",16.5,"USA    "
"dodge st. regis                     ","USA    ",79,3830,"Late ",15.2,"Other",8,318,135,"dodge        ",18.2,"USA    "
"buick estate wagon (sw)             ","USA    ",79,4360,"Late ",14.9,"Other",8,350,155,"buick        ",16.9,"USA    "
"ford country squire (sw)            ","USA    ",79,4054,"Late ",14.3,"Other",8,351,142,"ford         ",15.5,"USA    "
"chevrolet malibu classic (sw)       ","USA    ",79,3605,"Late ",15,"Other",8,267,125,"chevrolet    ",19.2,"USA    "
"chrysler lebaron town @ country (sw)","USA    ",79,3940,"Late ",13,"Other",8,360,150,"chrysler     ",18.5,"USA    "
"volkswagen rabbit custom            ","Germany",79,1925,"Late ",14,"Four ",4,89,71,"volkswagen   ",31.9,"Europe "
"mazda glc deluxe                    ","Japan  ",79,1975,"Late ",15.2,"Four ",4,86,65,"mazda        ",34.1,"Japan  "
"dodge colt hatchback custom         ","USA    ",79,1915,"Late ",14.4,"Four ",4,98,80,"dodge        ",35.7,"USA    "
"amc spirit dl                       ","USA    ",79,2670,"Late ",15,"Four ",4,121,80,"amc          ",27.4,"USA    "
"mercedes-benz 300d                  ","Germany",79,3530,"Late ",20.1,"Other",5,183,77,"mercedes-benz",25.4,"Europe "
"cadillac eldorado                   ","USA    ",79,3900,"Late ",17.4,"Other",8,350,125,"cadillac     ",23,"USA    "
"peugeot 504                         ","France ",79,3190,"Late ",24.8,"Four ",4,141,71,"peugeot      ",27.2,"Europe "
"oldsmobile cutlass salon brougham   ","USA    ",79,3420,"Late ",22.2,"Other",8,260,90,"oldsmobile   ",23.9,"USA    "
"plymouth horizon                    ","USA    ",79,2200,"Late ",13.2,"Four ",4,105,70,"plymouth     ",34.2,"USA    "
"plymouth horizon tc3                ","USA    ",79,2150,"Late ",14.9,"Four ",4,105,70,"plymouth     ",34.5,"USA    "
"datsun 210                          ","Japan  ",79,2020,"Late ",19.2,"Four ",4,85,65,"datsun       ",31.8,"Japan  "
"fiat strada custom                  ","Italy  ",79,2130,"Late ",14.7,"Four ",4,91,69,"fiat         ",37.3,"Europe "
"buick skylark limited               ","USA    ",79,2670,"Late ",16,"Four ",4,151,90,"buick        ",28.4,"USA    "
"chevrolet citation                  ","USA    ",79,2595,"Late ",11.3,"Other",6,173,115,"chevrolet    ",28.8,"USA    "
"oldsmobile omega brougham           ","USA    ",79,2700,"Late ",12.9,"Other",6,173,115,"oldsmobile   ",26.8,"USA    "
"pontiac phoenix                     ","USA    ",79,2556,"Late ",13.2,"Four ",4,151,90,"pontiac      ",33.5,"USA    "
"volkswagen rabbit                   ","Germany",80,2144,"Late ",14.7,"Four ",4,98,76,"volkswagen   ",41.5,"Europe "
"toyota corolla tercel               ","Japan  ",80,1968,"Late ",18.8,"Four ",4,89,60,"toyota       ",38.1,"Japan  "
"chevrolet chevette                  ","USA    ",80,2120,"Late ",15.5,"Four ",4,98,70,"chevrolet    ",32.1,"USA    "
"datsun 310                          ","Japan  ",80,2019,"Late ",16.4,"Four ",4,86,65,"datsun       ",37.2,"Japan  "
"chevrolet citation                  ","USA    ",80,2678,"Late ",16.5,"Four ",4,151,90,"chevrolet    ",28,"USA    "
"ford fairmont                       ","USA    ",80,2870,"Late ",18.1,"Four ",4,140,88,"ford         ",26.4,"USA    "
"amc concord                         ","USA    ",80,3003,"Late ",20.1,"Four ",4,151,90,"amc          ",24.3,"USA    "
"dodge aspen                         ","USA    ",80,3381,"Late ",18.7,"Other",6,225,90,"dodge        ",19.1,"USA    "
"audi 4000                           ","Germany",80,2188,"Late ",15.8,"Four ",4,97,78,"audi         ",34.3,"Europe "
"toyota corona liftback              ","Japan  ",80,2711,"Late ",15.5,"Four ",4,134,90,"toyota       ",29.8,"Japan  "
"mazda 626                           ","Japan  ",80,2542,"Late ",17.5,"Four ",4,120,75,"mazda        ",31.3,"Japan  "
"datsun 510 hatchback                ","Japan  ",80,2434,"Late ",15,"Four ",4,119,92,"datsun       ",37,"Japan  "
"toyota corolla                      ","Japan  ",80,2265,"Late ",15.2,"Four ",4,108,75,"toyota       ",32.2,"Japan  "
"mazda glc                           ","Japan  ",80,2110,"Late ",17.9,"Four ",4,86,65,"mazda        ",46.6,"Japan  "
"dodge colt                          ","USA    ",80,2800,"Late ",14.4,"Four ",4,156,105,"dodge        ",27.9,"USA    "
"datsun 210                          ","Japan  ",80,2110,"Late ",19.2,"Four ",4,85,65,"datsun       ",40.8,"Japan  "
"volkswagen rabbit c (diesel)        ","Germany",80,2085,"Late ",21.7,"Four ",4,90,48,"volkswagen   ",44.3,"Europe "
"volkswagen dasher (diesel)          ","Germany",80,2335,"Late ",23.7,"Four ",4,90,48,"volkswagen   ",43.4,"Europe "
"audi 5000s (diesel)                 ","Germany",80,2950,"Late ",19.9,"Other",5,121,67,"audi         ",36.4,"Europe "
"mercedes-benz 240d                  ","Germany",80,3250,"Late ",21.8,"Four ",4,146,67,"mercedes-benz",30,"Europe "
"honda civic 1500 gl                 ","Japan  ",80,1850,"Late ",13.8,"Four ",4,91,67,"honda        ",44.6,"Japan  "
"renault lecar deluxe                ","France ",80,1835,"Late ",17.3,"Four ",4,85,NaN,"renault      ",40.9,"Europe "
"subaru dl                           ","Japan  ",80,2145,"Late ",18,"Four ",4,97,67,"subaru       ",33.8,"Japan  "
"volkswagen rabbit                   ","Germany",80,1845,"Late ",15.3,"Four ",4,89,62,"volkswagen   ",29.8,"Europe "
"datsun 280-zx                       ","Japan  ",80,2910,"Late ",11.4,"Other",6,168,132,"datsun       ",32.7,"Japan  "
"mazda rx-7 gs                       ","Japan  ",80,2420,"Late ",12.5,"Other",3,70,100,"mazda        ",23.7,"Japan  "
"triumph tr7 coupe                   ","England",80,2500,"Late ",15.1,"Four ",4,122,88,"triumph      ",35,"Europe "
"ford mustang cobra                  ","USA    ",80,2905,"Late ",14.3,"Four ",4,140,NaN,"ford         ",23.6,"USA    "
"honda accord                        ","Japan  ",80,2290,"Late ",17,"Four ",4,107,72,"honda        ",32.4,"Japan  "
"plymouth reliant                    ","USA    ",81,2490,"Late ",15.7,"Four ",4,135,84,"plymouth     ",27.2,"USA    "
"buick skylark                       ","USA    ",81,2635,"Late ",16.4,"Four ",4,151,84,"buick        ",26.6,"USA    "
"dodge aries wagon (sw)              ","USA    ",81,2620,"Late ",14.4,"Four ",4,156,92,"dodge        ",25.8,"USA    "
"chevrolet citation                  ","USA    ",81,2725,"Late ",12.6,"Other",6,173,110,"chevrolet    ",23.5,"USA    "
"plymouth reliant                    ","USA    ",81,2385,"Late ",12.9,"Four ",4,135,84,"plymouth     ",30,"USA    "
"toyota starlet                      ","Japan  ",81,1755,"Late ",16.9,"Four ",4,79,58,"toyota       ",39.1,"Japan  "
"plymouth champ                      ","USA    ",81,1875,"Late ",16.4,"Four ",4,86,64,"plymouth     ",39,"USA    "
"honda civic 1300                    ","Japan  ",81,1760,"Late ",16.1,"Four ",4,81,60,"honda        ",35.1,"Japan  "
"subaru                              ","Japan  ",81,2065,"Late ",17.8,"Four ",4,97,67,"subaru       ",32.3,"Japan  "
"datsun 210 mpg                      ","Japan  ",81,1975,"Late ",19.4,"Four ",4,85,65,"datsun       ",37,"Japan  "
"toyota tercel                       ","Japan  ",81,2050,"Late ",17.3,"Four ",4,89,62,"toyota       ",37.7,"Japan  "
"mazda glc 4                         ","Japan  ",81,1985,"Late ",16,"Four ",4,91,68,"mazda        ",34.1,"Japan  "
"plymouth horizon 4                  ","USA    ",81,2215,"Late ",14.9,"Four ",4,105,63,"plymouth     ",34.7,"USA    "
"ford escort 4w                      ","USA    ",81,2045,"Late ",16.2,"Four ",4,98,65,"ford         ",34.4,"USA    "
"ford escort 2h                      ","USA    ",81,2380,"Late ",20.7,"Four ",4,98,65,"ford         ",29.9,"USA    "
"volkswagen jetta                    ","Germany",81,2190,"Late ",14.2,"Four ",4,105,74,"volkswagen   ",33,"Europe "
"renault 18i                         ","France ",81,2320,"Late ",15.8,"Four ",4,100,NaN,"renault      ",34.5,"Europe "
"honda prelude                       ","Japan  ",81,2210,"Late ",14.4,"Four ",4,107,75,"honda        ",33.7,"Japan  "
"toyota corolla                      ","Japan  ",81,2350,"Late ",16.8,"Four ",4,108,75,"toyota       ",32.4,"Japan  "
"datsun 200sx                        ","Japan  ",81,2615,"Late ",14.8,"Four ",4,119,100,"datsun       ",32.9,"Japan  "
"mazda 626                           ","Japan  ",81,2635,"Late ",18.3,"Four ",4,120,74,"mazda        ",31.6,"Japan  "
"peugeot 505s turbo diesel           ","France ",81,3230,"Late ",20.4,"Four ",4,141,80,"peugeot      ",28.1,"Europe "
"saab 900s                           ","Sweden ",81,2800,"Late ",15.4,"Four ",4,121,110,"saab         ",NaN,"Europe "
"volvo diesel                        ","Sweden ",81,3160,"Late ",19.6,"Other",6,145,76,"volvo        ",30.7,"Europe "
"toyota cressida                     ","Japan  ",81,2900,"Late ",12.6,"Other",6,168,116,"toyota       ",25.4,"Japan  "
"datsun 810 maxima                   ","Japan  ",81,2930,"Late ",13.8,"Other",6,146,120,"datsun       ",24.2,"Japan  "
"buick century                       ","USA    ",81,3415,"Late ",15.8,"Other",6,231,110,"buick        ",22.4,"USA    "
"oldsmobile cutlass ls               ","USA    ",81,3725,"Late ",19,"Other",8,350,105,"oldsmobile   ",26.6,"USA    "
"ford granada gl                     ","USA    ",81,3060,"Late ",17.1,"Other",6,200,88,"ford         ",20.2,"USA    "
"chrysler lebaron salon              ","USA    ",81,3465,"Late ",16.6,"Other",6,225,85,"chrysler     ",17.6,"USA    "
"chevrolet cavalier                  ","USA    ",82,2605,"Late ",19.6,"Four ",4,112,88,"chevrolet    ",28,"USA    "
"chevrolet cavalier wagon            ","USA    ",82,2640,"Late ",18.6,"Four ",4,112,88,"chevrolet    ",27,"USA    "
"chevrolet cavalier 2-door           ","USA    ",82,2395,"Late ",18,"Four ",4,112,88,"chevrolet    ",34,"USA    "
"pontiac j2000 se hatchback          ","USA    ",82,2575,"Late ",16.2,"Four ",4,112,85,"pontiac      ",31,"USA    "
"dodge aries se                      ","USA    ",82,2525,"Late ",16,"Four ",4,135,84,"dodge        ",29,"USA    "
"pontiac phoenix                     ","USA    ",82,2735,"Late ",18,"Four ",4,151,90,"pontiac      ",27,"USA    "
"ford fairmont futura                ","USA    ",82,2865,"Late ",16.4,"Four ",4,140,92,"ford         ",24,"USA    "
"amc concord dl                      ","USA    ",82,3035,"Late ",20.5,"Four ",4,151,NaN,"amc          ",23,"USA    "
"volkswagen rabbit l                 ","Germany",82,1980,"Late ",15.3,"Four ",4,105,74,"volkswagen   ",36,"Europe "
"mazda glc custom l                  ","Japan  ",82,2025,"Late ",18.2,"Four ",4,91,68,"mazda        ",37,"Japan  "
"mazda glc custom                    ","Japan  ",82,1970,"Late ",17.6,"Four ",4,91,68,"mazda        ",31,"Japan  "
"plymouth horizon miser              ","USA    ",82,2125,"Late ",14.7,"Four ",4,105,63,"plymouth     ",38,"USA    "
"mercury lynx l                      ","USA    ",82,2125,"Late ",17.3,"Four ",4,98,70,"mercury      ",36,"USA    "
"nissan stanza xe                    ","Japan  ",82,2160,"Late ",14.5,"Four ",4,120,88,"nissan       ",36,"Japan  "
"honda accord                        ","Japan  ",82,2205,"Late ",14.5,"Four ",4,107,75,"honda        ",36,"Japan  "
"toyota corolla                      ","Japan  ",82,2245,"Late ",16.9,"Four ",4,108,70,"toyota       ",34,"Japan  "
"honda civic                         ","Japan  ",82,1965,"Late ",15,"Four ",4,91,67,"honda        ",38,"Japan  "
"honda civic (auto)                  ","Japan  ",82,1965,"Late ",15.7,"Four ",4,91,67,"honda        ",32,"Japan  "
"datsun 310 gx                       ","Japan  ",82,1995,"Late ",16.2,"Four ",4,91,67,"datsun       ",38,"Japan  "
"buick century limited               ","USA    ",82,2945,"Late ",16.4,"Other",6,181,110,"buick        ",25,"USA    "
"oldsmobile cutlass ciera (diesel)   ","USA    ",82,3015,"Late ",17,"Other",6,262,85,"oldsmobile   ",38,"USA    "
"chrysler lebaron medallion          ","USA    ",82,2585,"Late ",14.5,"Four ",4,156,92,"chrysler     ",26,"USA    "
"ford granada l                      ","USA    ",82,2835,"Late ",14.7,"Other",6,232,112,"ford         ",22,"USA    "
"toyota celica gt                    ","Japan  ",82,2665,"Late ",13.9,"Four ",4,144,96,"toyota       ",32,"Japan  "
"dodge charger 2.2                   ","USA    ",82,2370,"Late ",13,"Four ",4,135,84,"dodge        ",36,"USA    "
"chevrolet camaro                    ","USA    ",82,2950,"Late ",17.3,"Four ",4,151,90,"chevrolet    ",27,"USA    "
"ford mustang gl                     ","USA    ",82,2790,"Late ",15.6,"Four ",4,140,86,"ford         ",27,"USA    "
"volkswagen pickup                   ","Germany",82,2130,"Late ",24.6,"Four ",4,97,52,"volkswagen   ",44,"Europe "
"dodge rampage                       ","USA    ",82,2295,"Late ",11.6,"Four ",4,135,84,"dodge        ",32,"USA    "
"ford ranger                         ","USA    ",82,2625,"Late ",18.6,"Four ",4,120,79,"ford         ",28,"USA    "
"chevrolet s-10                      ","USA    ",82,2720,"Late ",19.4,"Four ",4,119,82,"chevrolet    ",31,"USA    "
